Entity,Code,Year,Date,Annual CO₂ emissions
United States,USA,1901,1/1/1901,721527550
United States,USA,1902,1/1/1902,764495740
United States,USA,1903,1/1/1903,894406900
United States,USA,1904,1/1/1904,882057540
United States,USA,1905,1/1/1905,986482400
United States,USA,1906,1/1/1906,1035471170
United States,USA,1907,1/1/1907,1203861500
United States,USA,1908,1/1/1908,1052812860
United States,USA,1909,1/1/1909,1165706200
United States,USA,1910,1/1/1910,1271582100
United States,USA,1911,1/1/1911,1258666600
United States,USA,1912,1/1/1912,1343565600
United States,USA,1913,1/1/1913,1442542100
United States,USA,1914,1/1/1914,1317980300
United States,USA,1915,1/1/1915,1367697000
United States,USA,1916,1/1/1916,1518980700
United States,USA,1917,1/1/1917,1670970600
United States,USA,1918,1/1/1918,1747718100
United States,USA,1919,1/1/1919,1479158800
United States,USA,1920,1/1/1920,1738245800
United States,USA,1921,1/1/1921,1423668600
United States,USA,1922,1/1/1922,1435758300
United States,USA,1923,1/1/1923,1896735900
United States,USA,1924,1/1/1924,1698320300
United States,USA,1925,1/1/1925,1758185500
United States,USA,1926,1/1/1926,1906048500
United States,USA,1927,1/1/1927,1862839200
United States,USA,1928,1/1/1928,1830965000
United States,USA,1929,1/1/1929,1963506200
United States,USA,1930,1/1/1930,1744916200
United States,USA,1931,1/1/1931,1484959100
United States,USA,1932,1/1/1932,1257814100
United States,USA,1933,1/1/1933,1348876800
United States,USA,1934,1/1/1934,1436238600
United States,USA,1935,1/1/1935,1492320900
United States,USA,1936,1/1/1936,1713411700
United States,USA,1937,1/1/1937,1792609900
United States,USA,1938,1/1/1938,1515749900
United States,USA,1939,1/1/1939,1670920400
United States,USA,1940,1/1/1940,1874985100
United States,USA,1941,1/1/1941,2043585000
United States,USA,1942,1/1/1942,2198264800
United States,USA,1943,1/1/1943,2272059100
United States,USA,1944,1/1/1944,2444903700
United States,USA,1945,1/1/1945,2359551500
United States,USA,1946,1/1/1946,2257493800
United States,USA,1947,1/1/1947,2485854500
United States,USA,1948,1/1/1948,2582558700
United States,USA,1949,1/1/1949,2164862200
United States,USA,1950,1/1/1950,2541485300
United States,USA,1951,1/1/1951,2618711600
United States,USA,1952,1/1/1952,2551219500
United States,USA,1953,1/1/1953,2612971300
United States,USA,1954,1/1/1954,2489462300
United States,USA,1955,1/1/1955,2728512000
United States,USA,1956,1/1/1956,2859995000
United States,USA,1957,1/1/1957,2835772200
United States,USA,1958,1/1/1958,2747107600
United States,USA,1959,1/1/1959,2831923200
United States,USA,1960,1/1/1960,2897315000
United States,USA,1961,1/1/1961,2886872800
United States,USA,1962,1/1/1962,2993902000
United States,USA,1963,1/1/1963,3126487600
United States,USA,1964,1/1/1964,3264313600
United States,USA,1965,1/1/1965,3399547000
United States,USA,1966,1/1/1966,3571421400
United States,USA,1967,1/1/1967,3705461000
United States,USA,1968,1/1/1968,3840919600
United States,USA,1969,1/1/1969,4035145200
United States,USA,1970,1/1/1970,4339686000
United States,USA,1971,1/1/1971,4365465000
United States,USA,1972,1/1/1972,4573015000
United States,USA,1973,1/1/1973,4785048600
United States,USA,1974,1/1/1974,4621046000
United States,USA,1975,1/1/1975,4478226000
United States,USA,1976,1/1/1976,4747762000
United States,USA,1977,1/1/1977,4889607000
United States,USA,1978,1/1/1978,4941361700
United States,USA,1979,1/1/1979,5008578600
United States,USA,1980,1/1/1980,4808520700
United States,USA,1981,1/1/1981,4686369300
United States,USA,1982,1/1/1982,4447256000
United States,USA,1983,1/1/1983,4429374000
United States,USA,1984,1/1/1984,4662141400
United States,USA,1985,1/1/1985,4652580000
United States,USA,1986,1/1/1986,4663369700
United States,USA,1987,1/1/1987,4825650700
United States,USA,1988,1/1/1988,5050475500
United States,USA,1989,1/1/1989,5132134400
United States,USA,1990,1/1/1990,5122496000
United States,USA,1991,1/1/1991,5064987000
United States,USA,1992,1/1/1992,5175220000
United States,USA,1993,1/1/1993,5274363000
United States,USA,1994,1/1/1994,5365579000
United States,USA,1995,1/1/1995,5427798500
United States,USA,1996,1/1/1996,5616430600
United States,USA,1997,1/1/1997,5691864600
United States,USA,1998,1/1/1998,5737129500
United States,USA,1999,1/1/1999,5810331600
United States,USA,2000,1/1/2000,6016350700
United States,USA,2001,1/1/2001,5911988000
United States,USA,2002,1/1/2002,5952699000
United States,USA,2003,1/1/2003,6015804400
United States,USA,2004,1/1/2004,6117963000
United States,USA,2005,1/1/2005,6137603600
United States,USA,2006,1/1/2006,6057163300
United States,USA,2007,1/1/2007,6135287300
United States,USA,2008,1/1/2008,5918868500
United States,USA,2009,1/1/2009,5482978000
United States,USA,2010,1/1/2010,5681392000
United States,USA,2011,1/1/2011,5546629000
United States,USA,2012,1/1/2012,5345454000
United States,USA,2013,1/1/2013,5480926000
United States,USA,2014,1/1/2014,5528871000
United States,USA,2015,1/1/2015,5376578000
United States,USA,2016,1/1/2016,5251757600
United States,USA,2017,1/1/2017,5210957300
United States,USA,2018,1/1/2018,5376657400
United States,USA,2019,1/1/2019,5259144000
United States,USA,2020,1/1/2020,4715691000
United States,USA,2021,1/1/2021,5007336000
